3.198000000000000000e+03,-1.060000000000000053e+00,-3.549870000000000232e+02,3.966920000000000073e+02,3.474039999999999906e-01,2.386980000000000075e+02,-1.896020000000000039e+02,1.450099999999999909e+02,-7.943160000000000220e-01
3.083000000000000000e+03,-5.600000000000000533e-01,-1.807969999999999970e+02,3.954510000000000218e+02,1.820440000000000114e-01,1.246899999999999977e+02,-6.672440000000000282e+01,1.053340000000000032e+02,-5.351240000000000441e-01
3.001000000000000000e+03,-2.600000000000000089e-01,-8.170860000000000412e+01,3.958690000000000282e+02,1.360260000000000080e-01,9.326839999999999975e+01,2.872930000000000206e+00,9.322410000000000707e+01,3.080280000000000171e-02
3.000000000000000000e+03,-2.899999999999999800e-01,-9.110999999999999943e+01,3.960000000000000000e+02,1.300000000000000044e-01,8.916599999999999682e+01,2.318299999999999983e+01,8.610999999999999943e+01,2.600999999999999979e-01
2.962000000000000000e+03,-1.100000000000000006e-01,-3.411979999999999791e+01,3.966360000000000241e+02,1.494580000000000075e-01,1.026770000000000067e+02,5.034199999999999875e+01,8.948839999999999861e+01,4.902969999999999828e-01
2.839000000000000000e+03,2.000000000000000111e-01,5.945989999999999753e+01,3.926720000000000255e+02,2.743240000000000123e-01,1.865749999999999886e+02,1.603410000000000082e+02,9.539900000000000091e+01,8.593929999999999625e-01
2.722000000000000000e+03,4.500000000000000111e-01,1.282709999999999866e+02,3.958360000000000127e+02,4.074119999999999964e-01,2.793249999999999886e+02,2.558420000000000130e+02,1.121039999999999992e+02,9.159300000000000219e-01
2.602000000000000000e+03,6.400000000000000133e-01,1.743880000000000052e+02,3.956200000000000045e+02,5.267610000000000348e-01,3.609549999999999841e+02,3.341220000000000141e+02,1.365670000000000073e+02,9.256630000000000136e-01
2.483000000000000000e+03,7.700000000000000178e-01,2.002150000000000034e+02,3.976530000000000200e+02,6.429639999999999800e-01,4.428450000000000273e+02,4.100430000000000064e+02,1.672609999999999957e+02,9.259300000000000308e-01
2.365000000000000000e+03,8.699999999999999956e-01,2.154660000000000082e+02,3.950389999999999873e+02,7.329020000000000534e-01,5.014719999999999800e+02,4.610350000000000250e+02,1.972839999999999918e+02,9.193630000000000413e-01
2.244000000000000000e+03,9.399999999999999467e-01,2.208919999999999959e+02,3.965749999999999886e+02,8.230589999999999851e-01,5.653490000000000464e+02,5.170009999999999764e+02,2.287570000000000050e+02,9.144809999999999883e-01
2.124000000000000000e+03,9.899999999999999911e-01,2.202009999999999934e+02,3.942219999999999800e+02,8.970820000000000460e-01,6.125389999999999873e+02,5.539039999999999964e+02,2.615230000000000246e+02,9.042759999999999687e-01
2.007000000000000000e+03,1.030000000000000027e+00,2.164780000000000086e+02,3.942420000000000186e+02,9.655740000000000434e-01,6.593400000000000318e+02,5.902590000000000146e+02,2.938090000000000259e+02,8.952269999999999950e-01
1.887000000000000000e+03,1.040000000000000036e+00,2.055099999999999909e+02,3.938570000000000277e+02,1.025740000000000096e+00,6.997369999999999663e+02,6.214550000000000409e+02,3.215989999999999895e+02,8.881259999999999710e-01
1.768000000000000000e+03,1.070000000000000062e+00,1.981049999999999898e+02,3.977540000000000191e+02,1.094019999999999992e+00,7.537069999999999936e+02,6.670869999999999891e+02,3.508129999999999882e+02,8.850740000000000274e-01
1.647000000000000000e+03,1.060000000000000053e+00,1.828220000000000027e+02,3.933729999999999905e+02,1.131180000000000074e+00,7.707200000000000273e+02,6.720059999999999718e+02,3.773829999999999814e+02,8.719189999999999996e-01
1.529000000000000000e+03,1.060000000000000053e+00,1.697230000000000132e+02,3.945919999999999845e+02,1.177300000000000013e+00,8.046290000000000191e+02,6.979289999999999736e+02,4.004049999999999727e+02,8.673910000000000231e-01
1.408000000000000000e+03,1.050000000000000044e+00,1.548180000000000121e+02,3.971240000000000236e+02,1.227540000000000076e+00,8.443469999999999800e+02,7.302649999999999864e+02,4.238349999999999795e+02,8.648860000000000436e-01
1.291000000000000000e+03,1.050000000000000044e+00,1.419530000000000030e+02,3.939230000000000018e+02,1.254299999999999971e+00,8.558029999999999973e+02,7.303220000000000027e+02,4.461250000000000000e+02,8.533770000000000522e-01
1.169000000000000000e+03,1.040000000000000036e+00,1.273139999999999930e+02,3.936159999999999854e+02,1.289360000000000062e+00,8.790389999999999873e+02,7.451159999999999854e+02,4.663809999999999718e+02,8.476489999999999858e-01
1.052000000000000000e+03,1.030000000000000027e+00,1.134699999999999989e+02,3.971329999999999814e+02,1.334019999999999984e+00,9.176090000000000373e+02,7.784099999999999682e+02,4.858860000000000241e+02,8.483020000000000005e-01
9.310000000000000000e+02,1.020000000000000018e+00,9.944400000000000261e+01,3.933229999999999791e+02,1.349220000000000086e+00,9.191620000000000346e+02,7.683350000000000364e+02,5.045000000000000000e+02,8.359079999999999844e-01
8.130000000000000000e+02,1.000000000000000000e+00,8.513720000000000709e+01,3.931990000000000123e+02,1.375410000000000021e+00,9.367089999999999463e+02,7.780950000000000273e+02,5.215299999999999727e+02,8.306679999999999620e-01
6.920000000000000000e+02,9.899999999999999911e-01,7.174139999999999873e+01,3.973170000000000073e+02,1.413820000000000077e+00,9.729529999999999745e+02,8.115850000000000364e+02,5.366250000000000000e+02,8.341460000000000541e-01
5.740000000000000000e+02,9.899999999999999911e-01,5.950800000000000267e+01,3.927620000000000005e+02,1.420819999999999972e+00,9.665610000000000355e+02,7.942140000000000555e+02,5.508759999999999764e+02,8.216900000000000315e-01
4.540000000000000000e+02,9.799999999999999822e-01,4.659190000000000254e+01,3.971820000000000164e+02,1.452409999999999979e+00,9.991720000000000255e+02,8.252749999999999773e+02,5.632640000000000100e+02,8.259579999999999700e-01
3.350000000000000000e+02,1.000000000000000000e+00,3.508109999999999928e+01,3.925439999999999827e+02,1.460490000000000066e+00,9.929990000000000236e+02,8.093920000000000528e+02,5.752670000000000528e+02,8.150979999999999892e-01
2.160000000000000000e+02,1.020000000000000018e+00,2.307189999999999941e+01,3.923820000000000050e+02,1.476699999999999902e+00,1.003610000000000014e+03,8.138269999999999982e+02,5.872910000000000537e+02,8.109030000000000404e-01
9.500000000000000000e+01,1.040000000000000036e+00,1.034629999999999939e+01,3.969300000000000068e+02,1.501670000000000060e+00,1.032400000000000091e+03,8.422250000000000227e+02,5.970869999999999891e+02,8.157910000000000439e-01
0.000000000000000000e+00,1.120000000000000107e+00,0.000000000000000000e+00,3.960000000000000000e+02,1.510000000000000009e+00,1.035700000000000045e+03,8.451319999999999482e+02,5.986870000000000118e+02,8.159999999999999476e-01
-2.100000000000000000e+01,1.280000000000000027e+00,-2.814869999999999983e+00,3.919169999999999732e+02,1.517030000000000101e+00,1.029789999999999964e+03,8.301960000000000264e+02,6.093039999999999736e+02,8.061760000000000037e-01
-1.400000000000000000e+02,1.239999999999999991e+00,-1.817930000000000135e+01,3.922579999999999814e+02,1.532589999999999897e+00,1.041259999999999991e+03,8.381720000000000255e+02,6.178039999999999736e+02,8.049619999999999553e-01
-2.600000000000000000e+02,1.239999999999999991e+00,-3.376160000000000139e+01,3.913509999999999991e+02,1.531330000000000080e+00,1.037990000000000009e+03,8.306159999999999854e+02,6.225019999999999527e+02,8.002129999999999521e-01
-3.790000000000000000e+02,1.239999999999999991e+00,-4.921410000000000196e+01,3.969089999999999918e+02,1.545369999999999910e+00,1.062390000000000100e+03,8.569629999999999654e+02,6.279230000000000018e+02,8.066370000000000484e-01
-4.990000000000000000e+02,1.280000000000000027e+00,-6.688660000000000139e+01,3.967730000000000246e+02,1.554270000000000040e+00,1.068140000000000100e+03,8.579009999999999536e+02,6.363469999999999800e+02,8.031700000000000506e-01
